grid,positionText,position_quali,sma_position,avg_pos_move
1,1,1,2.0,0.7708333333333334
10,3,11,7.0,
7,3,7,6.0,
14,0,15,0.0,
6,0,6,0.0,
19,0,20,0.0,20.0
12,0,13,0.0,1.894736842105263
0,0,10,0.0,
11,4,12,11.0,
2,1,2,1.0,
20,0,19,0.0,
5,2,5,5.0,3.4716981132075473
18,4,18,13.0,
3,1,3,3.0,
16,4,16,12.0,
13,3,14,10.0,0.7391304347826086
9,3,9,9.0,1.5151515151515151
8,3,8,8.0,
4,2,4,4.0,
17,0,17,0.0,
15,0,16,6.5,
13,0,13,0.0,
2,1,2,1.5,
20,4,18,6.5,
8,3,8,8.0,
6,4,6,10.0,
3,3,3,4.5,
14,4,14,7.5,
19,4,17,5.5,
5,2,5,2.0,
16,1,19,4.0,
18,0,15,6.0,
17,3,20,10.0,
10,0,10,0.0,
4,2,4,4.5,
7,4,7,11.5,
11,3,11,7.5,
9,0,9,4.5,
12,3,12,4.0,
1,1,1,1.5,1.2644628099173554
17,0,17,4.333333333333333,
16,0,16,5.0,
11,4,11,7.0,
7,3,7,10.666666666666666,
5,2,5,4.333333333333333,
12,0,12,0.0,
9,3,9,6.333333333333333,
19,0,19,5.0,
8,3,8,8.666666666666666,
10,4,10,8.666666666666666,
6,0,6,2.6666666666666665,
2,1,2,1.6666666666666667,
15,4,15,4.666666666666667,
1,1,1,4.0,
4,2,4,3.0,
13,4,13,11.0,
18,3,18,7.666666666666667,
20,0,20,2.6666666666666665,
14,3,14,10.0,
3,1,3,1.3333333333333333,
3,1,3,3.25,
15,0,15,3.5,
18,4,19,7.5,
17,4,18,13.5,
12,4,13,8.25,
20,4,17,6.75,
8,3,8,10.0,
2,1,2,4.0,
14,3,11,6.25,
11,4,12,2.75,
1,1,1,1.5,
19,0,20,4.75,
10,3,10,9.25,
16,0,16,6.5,
4,2,4,2.25,
5,0,5,2.25,
13,4,14,5.25,
6,3,6,8.75,
9,3,9,7.25,
7,2,7,3.25,
16,4,16,8.2,
18,4,18,5.4,
17,4,17,8.2,
6,1,6,2.4,
8,2,8,6.6,
5,0,5,2.6,
7,4,7,5.2,
3,0,3,2.6,
9,4,9,9.6,
2,1,2,1.6,
14,3,14,5.8,
15,3,15,11.666666666666666,
10,2,10,8.4,
12,3,12,6.4,
13,3,13,9.2,
20,0,19,5.4,
