grid,positionText,current_standings_position,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,propensity_tight_0,propensity_tight_1,propensity_tight_2,propensity_tight_3,propensity_winner_1,propensity_winner_0
2,2,2,1,1,2,,,,,,,,,0.0,0.5,0.5,0.0,1.0,0.0
14,0,12,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
15,0,19,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
7,0,13,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
3,1,1,2,2,1,,,,,,,,,0.0,0.5,0.5,0.0,0.0,1.0
12,0,21,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
9,0,10,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
4,0,6,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
11,0,14,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
10,0,17,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
1,3,3,0,0,3,,,,,,,,,0.5,0.0,0.0,0.5,0.0,1.0
19,0,20,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
18,0,8,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
8,0,7,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
5,0,4,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
16,0,9,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
17,0,18,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
20,0,11,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
6,0,5,0,3,0,,,,,,,,,0.5,0.0,0.0,0.5,0.0,1.0
14,0,9,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
3,1,3,1,3,0,3,,,,,,,,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,1.0
2,3,4,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
9,0,7,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
11,0,16,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
5,0,6,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
19,0,12,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
1,2,1,2,1,2,1,,,,,,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5
4,0,2,1,2,1,2,,,,,,,,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5
10,0,10,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
15,0,20,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
8,0,11,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
18,0,21,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
6,0,8,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
20,0,19,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
13,0,13,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
16,0,18,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
12,0,14,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
7,0,5,0,0,3,0,,,,,,,,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0
4,0,4,0,3,0,0,0,,,,,,,0.75,0.0,0.0,0.25,0.0,1.0
9,0,9,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
5,0,6,0,0,0,3,0,,,,,,,0.75,0.0,0.0,0.25,0.0,1.0
18,0,17,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
12,0,10,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
8,0,7,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
20,0,21,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
3,0,3,1,1,3,0,3,,,,,,,0.25,0.25,0.0,0.5,0.3333333333333333,0.6666666666666666
16,0,16,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
1,1,2,2,0,2,1,2,,,,,,,0.25,0.25,0.5,0.0,0.3333333333333333,0.6666666666666666
7,0,18,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
10,0,8,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
6,3,5,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
14,0,12,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
2,2,1,2,2,1,2,1,,,,,,,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666
13,0,11,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
15,0,13,0,0,0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
19,0,15,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
17,0,20,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
11,0,14,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
2,1,1,3,2,2,1,2,1,,,,,,0.0,0.4,0.6,0.0,0.25,0.75
15,0,10,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
16,0,16,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
5,3,5,0,3,0,0,0,0,,,,,,0.8,0.0,0.0,0.2,0.0,1.0
18,0,14,0,0,0,0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
8,0,12,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
19,0,17,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
3,0,3,1,0,1,3,0,3,,,,,,0.4,0.2,0.0,0.4,0.25,0.75
12,0,21,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
11,0,13,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
9,0,15,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
4,0,6,0,0,0,0,3,0,,,,,,0.8,0.0,0.0,0.2,0.0,1.0
17,0,18,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
6,0,8,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
1,2,4,0,0,3,0,0,0,,,,,,0.8,0.0,0.0,0.2,0.0,1.0
13,0,2,2,1,0,2,1,2,,,,,,0.2,0.4,0.4,0.0,0.5,0.5
14,0,9,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
7,0,7,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
10,0,11,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
9,0,8,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
12,0,19,0,0,0,0,0,0,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
7,0,10,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
20,0,14,0,0,0,0,0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0
16,0,21,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
14,0,12,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
6,3,5,0,3,3,0,0,0,0,,,,,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0
3,2,3,1,0,0,1,3,0,3,,,,,0.5,0.16666666666666666,0.0,0.3333333333333333,0.2,0.8
2,0,1,3,1,2,2,1,2,1,,,,,0.0,0.5,0.5,0.0,0.4,0.6
10,0,11,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
1,1,2,3,0,1,0,2,1,2,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.6
8,0,7,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
17,0,16,0,0,0,0,0,0,0,,,,,1.0,0.0,0.0,0.0,0.0,1.0
