grid,positionText,last_1,last_2,avg_position_real
2,1,,,6.297520661157025
1,1,,,2.819672131147541
3,1,,,4.203252032520325
4,2,,,7.787878787878788
9,3,,,9.320754716981131
12,0,,,7.190476190476191
17,0,,,9.94059405940594
20,0,,,9.688524590163935
8,3,,,5.739837398373984
13,3,,,7.205882352941177
11,4,,,7.059701492537314
16,4,,,12.049180327868852
18,4,,,9.78048780487805
5,2,,,2.4715447154471546
10,3,,,6.8264462809917354
7,3,,,8.368421052631579
0,0,,,6.016260162601626
14,0,,,9.975609756097562
19,0,,,8.8
6,0,,,9.428571428571429
13,0,0,,7.190476190476191
9,0,3,,9.320754716981131
14,4,0,,9.975609756097562
7,4,4,,7.059701492537314
8,3,3,,6.8264462809917354
3,3,1,,4.203252032520325
11,3,3,,5.739837398373984
20,4,0,,8.8
6,4,3,,8.368421052631579
10,0,0,,9.688524590163935
15,0,4,,9.78048780487805
18,0,4,,12.049180327868852
5,2,0,,6.016260162601626
17,3,3,,7.205882352941177
19,4,0,,9.428571428571429
12,3,0,,9.94059405940594
1,1,1,,2.819672131147541
2,1,1,,6.297520661157025
16,1,2,,2.4715447154471546
4,2,2,,7.787878787878788
4,2,2,0,6.016260162601626
11,4,0,3,9.320754716981131
13,4,,,11.555555555555555
2,1,1,1,2.819672131147541
10,4,4,0,8.8
15,4,0,0,7.190476190476191
19,0,4,0,9.975609756097562
3,1,1,1,6.297520661157025
1,1,3,1,4.203252032520325
5,2,2,2,7.787878787878788
7,3,4,4,7.059701492537314
17,0,0,4,9.78048780487805
12,0,0,0,9.688524590163935
6,0,1,2,2.4715447154471546
20,0,3,0,9.94059405940594
14,3,3,3,7.205882352941177
18,3,3,3,6.8264462809917354
9,3,4,0,9.428571428571429
8,3,4,3,8.368421052631579
16,0,3,3,5.739837398373984
2,1,2,2,7.787878787878788
7,2,0,1,2.4715447154471546
9,3,3,3,6.8264462809917354
4,2,1,1,2.819672131147541
20,4,0,0,9.78048780487805
18,4,0,4,9.975609756097562
19,0,3,4,9.428571428571429
12,4,4,0,9.320754716981131
5,0,2,2,6.016260162601626
17,4,4,,11.555555555555555
16,0,4,4,8.8
15,0,4,0,7.190476190476191
3,1,1,3,4.203252032520325
1,1,1,1,6.297520661157025
13,4,0,3,9.94059405940594
10,3,3,3,7.205882352941177
8,3,3,4,7.059701492537314
6,3,3,4,8.368421052631579
14,3,0,3,5.739837398373984
11,4,0,0,9.688524590163935
3,0,1,1,4.203252032520325
20,0,4,0,9.78048780487805
5,0,2,0,2.4715447154471546
4,0,1,2,7.787878787878788
9,4,3,3,8.368421052631579
11,4,4,0,9.94059405940594
17,4,0,4,8.8
15,3,4,4,11.555555555555555
19,3,4,4,9.320754716981131
14,3,0,3,9.428571428571429
16,4,4,0,9.975609756097562
7,4,0,4,7.190476190476191
18,4,4,0,9.688524590163935
6,1,0,2,6.016260162601626
1,1,2,1,2.819672131147541
8,2,3,3,6.8264462809917354
2,1,1,1,6.297520661157025
12,3,3,0,5.739837398373984
10,2,3,3,7.205882352941177
13,3,3,3,7.059701492537314
7,4,2,3,6.8264462809917354
20,0,,,0.0
18,0,3,4,11.555555555555555
10,0,3,3,7.059701492537314
4,2,0,2,2.4715447154471546
9,4,3,4,9.320754716981131
17,4,4,4,9.688524590163935
12,0,0,4,9.78048780487805
19,0,4,4,9.975609756097562
