grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,rolling_avg_pos_move_5,avg_position_real_rolling_5,propensity_1,propensity_0,sma_3
2,1,0.0,1,1,,,,,,,1.0,0.0,
3,0,43.0,0,1,,,,,,,1.0,0.0,
17,1,2.0,0,1,,,,,,,1.0,0.0,
6,1,25.0,0,0,,,,,,,0.0,1.0,
16,1,22.0,0,0,,,,,,,0.0,1.0,
8,0,8.0,0,0,,,,,,,0.0,1.0,
1,1,43.0,1,1,,,,,,,1.0,0.0,
11,0,8.0,0,0,,,,,,,0.0,1.0,
4,0,23.0,0,0,,,,,,,0.0,1.0,
7,1,2.0,0,1,,,,,,,1.0,0.0,
5,0,38.0,0,0,0,,,,,,0.0,1.0,
8,0,25.0,0,1,0,,,,,,0.5,0.5,
14,1,2.0,0,1,1,,,,,,1.0,0.0,
4,0,0.0,0,0,0,,,,,,0.0,1.0,
7,0,3.0,0,1,1,,,,,,1.0,0.0,
3,1,0.0,2,1,1,,,,,,1.0,0.0,
11,1,10.0,0,0,0,,,,,,0.0,1.0,
2,1,68.0,1,1,1,,,,,,1.0,0.0,
1,1,61.0,0,0,1,,,,,,0.5,0.5,
18,0,16.0,0,0,0,,,,,,0.0,1.0,
9,0,0.0,0,1,0,,,,,,1.0,0.0,
10,1,0.0,0,1,0,,,,,,1.0,0.0,
2,1,63.0,0,0,0,0,,,,,0.0,1.0,
12,1,11.0,0,1,0,0,,,,,0.5,0.5,
3,1,73.0,1,1,0,1,,,,,0.6666666666666666,0.3333333333333333,
18,1,22.0,0,0,1,0,,,,,1.0,0.0,
4,0,86.0,1,1,1,1,,,,,1.0,0.0,
17,1,4.0,0,1,,,,,,,1.0,0.0,
13,1,0.0,0,0,0,0,,,,,0.0,1.0,
9,0,18.0,0,0,0,0,,,,,0.0,1.0,
7,0,49.0,0,0,1,0,,,,,0.5,0.5,
8,0,9.0,0,0,1,1,,,,,0.6666666666666666,0.3333333333333333,
10,0,2.0,0,1,1,1,,,,,1.0,0.0,
1,1,0.0,2,1,1,1,,,,,1.0,0.0,
20,1,0.0,0,0,0,1,,,,,1.0,0.0,
14,1,22.0,0,0,0,0,,,,,0.0,1.0,
6,0,35.0,0,0,1,0,,,,,0.3333333333333333,0.6666666666666666,
19,0,17.0,0,1,1,0,0,,,,0.6666666666666666,0.3333333333333333,
17,1,0.0,0,0,1,1,0,,,,1.0,0.0,
2,1,0.0,2,1,1,1,1,,,,1.0,0.0,1.6666666666666667
6,1,0.0,0,0,0,0,0,,,,0.0,1.0,
10,0,4.0,0,0,1,1,1,,,,0.75,0.25,9.0
15,0,5.0,0,1,1,,,,,,1.0,0.0,
14,1,0.0,0,0,0,1,0,,,,0.5,0.5,
12,0,34.0,0,1,0,0,0,,,,0.3333333333333333,0.6666666666666666,
1,1,104.0,2,0,1,1,1,,,,0.75,0.25,2.3333333333333335
