grid,positionText,last_1,last_2,last_3,avg_position_real
2,1,,,,6.297520661157025
1,1,,,,3.0694444444444446
3,1,,,,5.317241379310345
4,2,,,,7.787878787878788
20,0,,,,9.375
5,2,,,,2.2896551724137932
11,4,,,,8.685393258426966
13,3,,,,7.129032258064516
7,3,,,,8.368421052631579
10,3,,,,6.405594405594406
8,3,,,,5.7379310344827585
9,3,,,,9.320754716981131
18,4,,,,9.78048780487805
12,0,,,,6.754716981132075
17,0,,,,10.341463414634147
16,4,,,,12.049180327868852
0,0,,,,6.376923076923077
14,0,,,,9.975609756097562
19,0,,,,8.8
6,0,,,,9.428571428571429
20,4,0,,,8.8
19,4,0,,,9.428571428571429
17,3,3,,,7.129032258064516
8,3,3,,,6.405594405594406
12,3,0,,,10.341463414634147
11,3,3,,,5.7379310344827585
3,3,1,,,5.317241379310345
4,2,2,,,7.787878787878788
13,0,0,,,6.754716981132075
6,4,3,,,8.368421052631579
14,4,0,,,9.975609756097562
9,0,3,,,9.320754716981131
10,0,0,,,9.375
18,0,4,,,12.049180327868852
15,0,4,,,9.78048780487805
7,4,4,,,8.685393258426966
5,2,0,,,6.376923076923077
16,1,2,,,2.2896551724137932
2,1,1,,,6.297520661157025
1,1,1,,,3.0694444444444446
12,0,0,0,,9.375
6,0,1,2,,2.2896551724137932
20,0,3,0,,10.341463414634147
17,0,0,4,,9.78048780487805
10,4,4,0,,8.8
15,4,0,0,,6.754716981132075
19,0,4,0,,9.975609756097562
16,0,3,3,,5.7379310344827585
2,1,1,1,,3.0694444444444446
3,1,1,1,,6.297520661157025
5,2,2,2,,7.787878787878788
4,2,2,0,,6.376923076923077
8,3,4,3,,8.368421052631579
18,3,3,3,,6.405594405594406
9,3,4,0,,9.428571428571429
7,3,4,4,,8.685393258426966
14,3,3,3,,7.129032258064516
13,4,,,,11.555555555555555
11,4,0,3,,9.320754716981131
1,1,3,1,,5.317241379310345
3,1,1,3,1,5.317241379310345
1,1,1,1,1,6.297520661157025
19,0,3,4,0,9.428571428571429
18,4,0,4,0,9.975609756097562
11,4,0,0,0,9.375
16,0,4,4,0,8.8
17,4,4,,,11.555555555555555
12,4,4,0,3,9.320754716981131
5,0,2,2,0,6.376923076923077
4,2,1,1,1,3.0694444444444446
9,3,3,3,3,6.405594405594406
7,2,0,1,2,2.2896551724137932
6,3,3,4,3,8.368421052631579
14,3,0,3,3,5.7379310344827585
8,3,3,4,4,8.685393258426966
10,3,3,3,3,7.129032258064516
2,1,2,2,2,7.787878787878788
13,4,0,3,0,10.341463414634147
20,4,0,0,4,9.78048780487805
15,0,4,0,0,6.754716981132075
3,0,1,1,3,5.317241379310345
20,0,4,0,0,9.78048780487805
5,0,2,0,1,2.2896551724137932
4,0,1,2,2,7.787878787878788
8,2,3,3,3,6.405594405594406
10,2,3,3,3,7.129032258064516
12,3,3,0,3,5.7379310344827585
13,3,3,3,4,8.685393258426966
15,3,4,4,,11.555555555555555
16,4,4,0,4,9.975609756097562
14,3,0,3,4,9.428571428571429
19,3,4,4,0,9.320754716981131
9,4,3,3,4,8.368421052631579
17,4,0,4,4,8.8
11,4,4,0,3,10.341463414634147
18,4,4,0,0,9.375
7,4,0,4,0,6.754716981132075
1,1,2,1,1,3.0694444444444446
6,1,0,2,2,6.376923076923077
2,1,1,1,1,6.297520661157025
19,0,4,4,0,9.975609756097562
20,0,,,,0.0
18,0,3,4,4,11.555555555555555
10,0,3,3,3,8.685393258426966
4,2,0,2,0,2.2896551724137932
6,3,3,3,0,5.7379310344827585
13,3,1,2,1,3.0694444444444446
8,3,3,0,3,9.428571428571429
14,3,4,3,3,8.368421052631579
