year,position_text,position_quali,last_1,sma
2017,1,2,,
2017,2,1,,1.0
2017,R,10,,0.0
2017,R,6,,0.0
2017,4,4,,3.0
2017,11,12,,10.0
2017,10,14,,9.0
2017,13,18,,12.0
2017,12,16,,11.0
2017,5,5,,4.0
2017,6,7,,5.0
2017,9,9,,8.0
2017,8,8,,7.0
2017,7,11,,6.0
2017,R,20,,0.0
2017,R,19,,0.0
2017,R,17,,0.0
2017,R,15,,0.0
2017,R,13,,13.0
2017,3,3,,2.0
2017,15,14,R,14.0
2017,14,6,6,13.0
2017,R,16,13,0.0
2017,R,13,R,15.0
2017,3,19,5,2.0
2017,2,2,1,1.0
2017,13,18,R,12.0
2017,12,7,11,11.0
2017,11,17,R,10.0
2017,R,9,9,0.0
2017,9,8,7,8.0
2017,10,20,10,9.0
2017,R,10,R,0.0
2017,R,15,12,0.0
2017,1,1,2,0.0
2017,8,12,R,7.0
2017,7,11,8,6.0
2017,6,3,3,5.0
2017,5,4,4,4.0
2017,4,5,R,3.0
2017,R,12,R,0.0
2017,R,6,3,0.0
2017,4,5,5,3.0
2017,3,1,6,2.0
2017,6,8,14,5.0
2017,7,18,9,6.0
2017,R,17,R,0.0
2017,1,3,2,0.0
2017,10,14,10,9.0
2017,2,2,1,1.0
2017,12,11,R,11.0
2017,13,10,13,12.0
2017,R,16,7,0.0
2017,R,19,15,14.0
2017,8,9,11,7.0
2017,5,4,4,4.0
2017,14,15,R,13.0
2017,11,13,,10.0
2017,9,7,12,8.0
2017,R,20,8,0.0
2017,9,6,6,8.0
2017,10,11,R,9.0
2017,7,10,10,6.0
2017,8,8,9,7.0
2017,1,3,3,0.0
2017,2,1,1,1.0
2017,6,9,7,5.0
2017,5,7,R,4.0
2017,4,4,2,3.0
2017,3,2,4,2.0
2017,11,12,R,10.0
2017,12,13,12,11.0
2017,R,20,8,0.0
2017,W,15,14,0.0
2017,14,17,R,13.0
2017,13,14,R,12.0
2017,16,18,11,15.0
2017,R,5,5,16.0
2017,R,16,13,0.0
2017,15,19,R,14.0
2017,R,3,1,16.0
2017,R,19,14,0.0
2017,R,5,5,0.0
2017,R,4,3,0.0
2017,5,10,7,4.0
2017,6,13,8,5.0
2017,7,12,10,6.0
2017,8,15,16,7.0
2017,9,20,12,8.0
2017,10,14,R,9.0
2017,11,16,15,10.0
2017,12,7,W,11.0
2017,13,9,9,12.0
2017,14,11,13,13.0
2017,15,17,R,14.0
2017,16,18,11,15.0
2017,3,6,R,2.0
2017,4,8,6,3.0
2017,2,2,2,1.0
2017,1,1,4,0.0
2017,R,20,11,0.0
2017,R,9,,0.0
2017,R,19,8,0.0
2017,R,12,6,0.0
2017,5,4,R,4.0
2017,6,6,7,5.0
2017,7,14,1,6.0
2017,8,8,10,7.0
2017,9,15,13,8.0
2017,10,13,14,9.0
2017,11,17,15,10.0
2017,12,16,5,11.0
2017,13,7,4,12.0
2017,14,11,9,13.0
2017,15,18,16,14.0
2017,R,10,R,15.0
2017,1,2,2,0.0
2017,2,1,R,1.0
2017,3,5,3,2.0
2017,4,3,R,3.0
2017,1,1,7,0.0
2017,2,3,4,1.0
2017,3,6,3,2.0
2017,4,2,1,3.0
2017,5,8,13,4.0
2017,6,9,12,5.0
2017,7,4,2,6.0
2017,8,10,R,7.0
2017,16,12,12,15.0
2017,15,20,R,14.0
2017,14,16,R,13.0
2017,13,19,R,12.0
2017,R,13,6,0.0
2017,R,7,9,0.0
2017,R,5,5,0.0
2017,R,11,14,16.0
2017,12,18,10,11.0
2017,11,15,11,10.0
2017,10,14,8,9.0
2017,9,17,15,8.0
2017,4,4,4,3.0
2017,3,8,9,2.0
2017,2,2,2,1.0
2017,1,10,3,0.0
2017,12,19,14,11.0
2017,R,11,R,0.0
2017,R,5,R,0.0
2017,R,14,8,0.0
2017,R,9,R,0.0
2017,R,6,5,14.0
2017,14,3,7,13.0
2017,13,17,10,12.0
2017,8,12,R,7.0
2017,11,18,13,10.0
2017,10,15,15,9.0
2017,9,16,16,8.0
2017,6,7,6,5.0
2017,7,13,12,6.0
2017,5,1,1,4.0
2017,1,1,2,0.0
2017,R,10,8,16.0
2017,16,14,R,15.0
2017,15,19,11,14.0
2017,14,20,10,13.0
2017,13,11,R,12.0
2017,12,13,12,11.0
2017,11,16,11,10.0
2017,10,18,3,9.0
2017,9,17,R,8.0
2017,8,9,6,7.0
2017,7,8,R,6.0
2017,6,7,13,5.0
2017,5,4,14,4.0
2017,4,3,5,3.0
2017,3,5,1,2.0
2017,2,2,4,1.0
2017,R,12,9,0.0
2017,R,6,R,0.0
2017,R,15,7,0.0
2017,13,10,6,12.0
2017,9,7,7,8.0
2017,12,17,R,11.0
2017,11,9,12,10.0
2017,10,15,9,9.0
2017,5,20,3,4.0
2017,4,5,R,3.0
2017,3,2,5,2.0
2017,2,4,1,1.0
2017,1,1,4,0.0
2017,8,8,8,7.0
2017,7,3,2,6.0
2017,6,6,13,5.0
2017,17,18,14,16.0
2017,R,11,11,0.0
2017,R,14,R,0.0
2017,R,13,R,17.0
2017,15,12,16,14.0
2017,16,16,10,15.0
2017,14,19,15,13.0
2017,9,12,8,8.0
2017,1,1,7,0.0
2017,8,14,9,7.0
2017,7,10,R,6.0
2017,6,8,R,5.0
2017,5,5,4,4.0
2017,4,4,1,3.0
2017,3,3,2,2.0
2017,2,2,3,1.0
2017,14,17,16,13.0
2017,R,15,13,0.0
2017,R,6,5,0.0
2017,17,7,6,16.0
2017,R,19,,17.0
2017,10,9,11,9.0
2017,12,11,R,11.0
2017,11,13,15,10.0
2017,16,20,14,15.0
2017,15,18,17,14.0
2017,13,16,12,12.0
2017,R,20,15,0.0
2017,17,8,8,16.0
2017,R,11,6,17.0
2017,R,5,5,0.0
2017,1,1,4,0.0
2017,5,3,3,4.0
2017,6,7,17,5.0
2017,8,16,10,7.0
2017,7,12,R,6.0
2017,10,14,7,9.0
2017,11,18,14,10.0
2017,12,17,11,11.0
2017,9,9,9,8.0
2017,13,10,12,12.0
2017,14,15,10,13.0
2017,16,19,16,15.0
2017,15,13,13,14.0
2017,2,2,1,1.0
2017,3,6,R,2.0
2017,4,4,2,3.0
2017,3,8,2,2.0
2017,2,6,5,1.0
2017,1,1,1,0.0
2017,4,3,3,3.0
2017,16,19,R,15.0
2017,13,12,6,12.0
2017,14,15,10,13.0
2017,15,20,7,14.0
2017,11,16,15,10.0
2017,10,2,R,9.0
2017,9,11,17,8.0
2017,12,14,12,11.0
2017,R,17,13,0.0
2017,17,13,R,16.0
2017,18,18,16,17.0
2017,R,10,14,18.0
2017,8,9,8,7.0
2017,5,7,4,4.0
2017,6,5,9,5.0
2017,7,4,11,6.0
2017,11,17,8,10.0
2017,10,14,6,9.0
2017,9,15,15,8.0
2017,8,18,7,7.0
2017,7,9,R,6.0
2017,6,11,R,5.0
2017,5,12,9,4.0
2017,R,4,5,0.0
2017,R,20,18,0.0
2017,R,7,13,0.0
2017,R,16,11,12.0
2017,12,19,16,11.0
2017,4,10,14,3.0
2017,2,3,4,1.0
2017,1,5,1,0.0
2017,3,6,2,2.0
2017,R,13,12,0.0
2017,R,8,17,0.0
2017,R,1,3,0.0
2017,R,2,10,0.0
2017,R,14,4,18.0
2017,18,19,R,17.0
2017,17,18,12,16.0
2017,16,8,R,15.0
2017,R,2,R,0.0
2017,5,5,3,4.0
2017,7,7,7,6.0
2017,4,20,R,3.0
2017,12,17,R,11.0
2017,1,3,R,0.0
2017,3,4,2,2.0
2017,2,1,1,1.0
2017,6,9,5,5.0
2017,13,16,9,12.0
2017,15,12,6,14.0
2017,8,13,8,7.0
2017,14,15,,13.0
2017,9,11,11,8.0
2017,10,6,10,9.0
2017,11,10,R,10.0
2017,4,2,5,3.0
2017,11,10,11,10.0
2017,9,16,13,8.0
2017,10,9,9,9.0
2017,2,5,1,1.0
2017,3,4,3,2.0
2017,1,1,2,0.0
2017,8,13,12,7.0
2017,7,8,6,6.0
2017,6,7,10,5.0
2017,5,6,R,4.0
2017,12,14,15,11.0
2017,R,3,4,0.0
2017,R,19,18,0.0
2017,R,12,16,0.0
2017,R,18,8,15.0
2017,15,20,17,14.0
2017,14,11,7,13.0
2017,13,17,14,12.0
2017,R,15,R,0.0
2017,4,6,2,3.0
2017,7,8,R,6.0
2017,5,3,4,4.0
2017,6,7,6,5.0
