grid,positionText,position_standings,prev_points,prev_wins,prev_position_standings,last_positionText_1,last_positionText_2,last_positionText_3,last_positionText_4,last_positionText_5,last_positionText_6,last_positionText_7,last_positionText_8,last_positionText_9,last_positionText_10,propensity_top3_1,propensity_top3_0
14,0,18,0.0,0.0,22.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,1,1,212.0,0.0,4.0,1,0,0,0,0,0,0,1,0,0,0.0,1.0
1,1,2,380.0,10.0,2.0,1,1,1,1,1,0,1,1,1,1,0.0,1.0
11,0,11,72.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,9,25.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,8,46.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
0,0,17,256.0,1.0,3.0,0,0,1,1,0,1,1,0,1,1,0.0,1.0
4,0,4,186.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,6,53.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,15,7.0,0.0,16.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,5,204.0,1.0,5.0,0,1,0,0,1,1,0,0,0,1,0.0,1.0
10,0,7,101.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,0,20,29.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,1,3,85.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,19,1.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,14,54.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,18,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,11,2.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,1,1,25.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,0.5,0.5
11,0,7,4.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,19,0.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,0.0,0.0,17.0,0,0,0,1,1,0,1,1,0,1,0.0,1.0
12,0,10,0.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,13,0.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,12,1.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,14,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,2,18.0,0.0,2.0,1,1,1,1,1,1,0,1,1,1,0.5,0.5
8,0,9,6.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
16,1,3,10.0,0.0,5.0,0,0,1,0,0,1,1,0,0,0,0.0,1.0
6,0,8,8.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,5,12.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
20,0,17,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,0,4,15.0,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0.5,0.5
20,0,11,4.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,12,2.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
6,0,5,25.0,0.0,3.0,1,0,0,1,0,0,1,1,0,0,0.3333333333333333,0.6666666666666666
18,0,8,8.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
2,1,2,43.0,1.0,2.0,1,1,1,1,1,1,1,0,1,1,0.6666666666666666,0.3333333333333333
16,0,9,10.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,4,22.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,10,0.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,13,0.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,15,1.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,20,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,3,23.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666
10,0,17,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
15,0,19,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,7,8.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,1,1,43.0,1.0,1.0,1,1,1,0,0,0,0,0,0,1,0.6666666666666666,0.3333333333333333
4,0,6,12.0,0.0,6.0,0,0,0,0,1,1,0,1,1,0,0.0,1.0
11,0,14,2.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,22.0,0.0,6.0,0,0,0,0,0,1,1,0,1,1,0.0,1.0
18,0,21,0.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
19,0,12,4.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
14,0,9,10.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
15,0,20,0.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
1,1,1,68.0,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0.75,0.25
6,0,8,16.0,0.0,7.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
12,0,14,2.0,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
8,0,11,2.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
9,0,7,14.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
7,0,5,25.0,0.0,5.0,0,1,0,0,1,0,0,1,1,0,0.25,0.75
10,0,10,3.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
17,0,15,0.0,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
3,1,3,38.0,0.0,3.0,1,0,1,0,0,0,0,0,0,0,0.5,0.5
16,0,18,0.0,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
13,0,13,4.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
4,0,2,61.0,1.0,2.0,1,1,1,1,1,1,1,1,0,1,0.75,0.25
2,1,4,34.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
5,0,6,35.0,0.0,5.0,0,0,1,0,0,1,0,0,1,1,0.2,0.8
11,0,14,4.0,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
