grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,last_6,last_7,last_8,last_9,last_10,rolling_avg_pos_move_10,propensity_1,propensity_0
1,1,43.0,1,0,,,,,,,,,,,0.0,1.0
6,0,25.0,0,0,,,,,,,,,,,0.0,1.0
17,0,2.0,0,0,,,,,,,,,,,0.0,1.0
11,0,8.0,0,0,,,,,,,,,,,0.0,1.0
16,0,22.0,0,0,,,,,,,,,,,0.0,1.0
7,0,2.0,0,0,,,,,,,,,,,0.0,1.0
4,0,23.0,0,0,,,,,,,,,,,0.0,1.0
8,0,8.0,0,0,,,,,,,,,,,0.0,1.0
3,0,43.0,0,0,,,,,,,,,,,0.0,1.0
2,0,0.0,1,1,,,,,,,,,,,1.0,0.0
4,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
5,0,38.0,0,0,0,,,,,,,,,,0.0,1.0
8,0,25.0,0,0,0,,,,,,,,,,0.0,1.0
14,0,2.0,0,0,0,,,,,,,,,,0.0,1.0
3,1,0.0,2,0,1,,,,,,,,,,0.5,0.5
2,0,68.0,1,1,0,,,,,,,,,,0.5,0.5
11,0,10.0,0,0,0,,,,,,,,,,0.0,1.0
7,0,3.0,0,0,0,,,,,,,,,,0.0,1.0
10,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
1,0,61.0,0,0,0,,,,,,,,,,0.0,1.0
18,0,16.0,0,0,0,,,,,,,,,,0.0,1.0
9,0,0.0,0,0,0,,,,,,,,,,0.0,1.0
14,0,22.0,0,0,0,0,,,,,,,,,0.0,1.0
6,0,35.0,0,0,0,0,,,,,,,,,0.0,1.0
20,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
10,0,2.0,0,0,0,0,,,,,,,,,0.0,1.0
7,0,49.0,0,0,0,0,,,,,,,,,0.0,1.0
8,0,9.0,0,0,0,0,,,,,,,,,0.0,1.0
1,0,0.0,2,1,0,1,,,,,,,,,0.6666666666666666,0.3333333333333333
2,0,63.0,0,0,0,0,,,,,,,,,0.0,1.0
12,0,11.0,0,0,0,0,,,,,,,,,0.0,1.0
18,0,22.0,0,0,0,0,,,,,,,,,0.0,1.0
13,0,0.0,0,0,0,0,,,,,,,,,0.0,1.0
9,0,18.0,0,0,0,0,,,,,,,,,0.0,1.0
3,1,73.0,1,0,0,0,,,,,,,,,0.0,1.0
17,0,4.0,0,0,,,,,,,,,,,0.0,1.0
4,0,86.0,1,0,1,0,,,,,,,,,0.3333333333333333,0.6666666666666666
2,0,0.0,2,0,1,0,1,,,,,,,,0.5,0.5
19,0,17.0,0,0,0,0,0,,,,,,,,0.0,1.0
18,0,4.0,0,0,0,0,0,,,,,,,,0.0,1.0
16,0,37.0,0,0,0,0,0,,,,,,,,0.0,1.0
9,0,35.0,0,0,0,0,0,,,,,,,,0.0,1.0
13,0,19.0,0,0,0,0,0,,,,,,,,0.0,1.0
7,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
10,0,4.0,0,0,0,0,0,,,,,,,,0.0,1.0
6,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
15,0,5.0,0,0,0,,,,,,,,,,0.0,1.0
17,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
14,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
12,0,34.0,0,0,0,0,0,,,,,,,,0.0,1.0
8,0,18.0,0,0,0,0,0,,,,,,,,0.0,1.0
11,0,0.0,0,0,0,0,0,,,,,,,,0.0,1.0
1,1,104.0,2,0,0,1,0,,,,,,,,0.25,0.75
7,0,20.0,0,0,0,0,0,0,,,,,,,0.0,1.0
16,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
8,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
17,0,5.0,0,0,0,0,0,0,,,,,,,0.0,1.0
9,0,25.0,0,0,0,0,0,0,,,,,,,0.0,1.0
1,0,75.0,0,0,0,0,0,0,,,,,,,0.0,1.0
2,1,4.0,3,0,0,1,0,1,,,,,,,0.4,0.6
5,0,0.0,0,0,0,0,0,0,,,,,,,0.0,1.0
15,0,4.0,0,0,0,0,0,0,,,,,,,0.0,1.0
4,0,67.0,0,0,0,0,0,0,,,,,,,0.0,1.0
14,0,45.0,0,0,0,0,0,0,,,,,,,0.0,1.0
