iter	Passed	Remaining
0	136	67971
1	138	34377
2	139	23060
3	141	17570
4	144	14277
5	145	11960
6	146	10333
7	149	9198
8	152	8310
9	156	7677
10	159	7080
11	160	6533
12	163	6135
13	166	5773
14	168	5458
15	171	5199
16	172	4906
17	175	4690
18	177	4496
19	180	4330
20	183	4175
21	185	4032
22	188	3903
23	190	3782
24	193	3670
25	195	3568
26	198	3472
27	200	3383
28	203	3300
29	205	3222
30	208	3148
31	210	3081
32	213	3018
33	215	2956
34	218	2898
35	220	2847
36	221	2776
37	223	2711
38	225	2665
39	228	2626
40	230	2585
41	233	2545
42	235	2507
43	238	2470
44	241	2438
45	244	2409
46	247	2381
47	250	2355
48	254	2339
49	257	2316
50	261	2302
51	264	2279
52	270	2283
53	273	2260
54	276	2236
55	279	2213
56	282	2194
57	285	2176
58	288	2156
59	291	2138
60	294	2120
61	297	2102
62	300	2087
63	303	2067
64	307	2056
65	312	2051
66	314	2035
67	317	2019
68	320	2002
69	323	1987
70	326	1973
71	329	1959
72	333	1951
73	336	1937
74	339	1921
75	341	1906
76	344	1891
77	346	1876
78	349	1864
79	352	1851
80	357	1849
81	360	1836
82	363	1824
83	367	1820
84	370	1809
85	374	1804
86	377	1792
87	380	1780
88	383	1768
89	385	1756
90	388	1744
91	391	1734
92	393	1722
93	396	1711
94	398	1700
95	401	1688
96	403	1677
97	406	1666
98	408	1655
99	411	1644
100	413	1634
101	416	1624
102	418	1614
103	421	1604
104	423	1594
105	426	1584
106	428	1574
107	431	1567
108	435	1560
109	438	1553
110	441	1545
111	443	1537
112	446	1530
113	449	1523
114	452	1514
115	455	1506
116	457	1498
117	460	1489
118	463	1482
119	465	1474
120	468	1466
121	470	1459
122	473	1451
123	476	1443
124	478	1435
125	481	1427
126	483	1420
127	486	1412
128	488	1405
129	491	1397
130	493	1390
131	496	1383
132	498	1375
133	501	1368
134	503	1362
135	506	1355
136	508	1348
137	511	1341
138	514	1335
139	516	1328
140	519	1322
141	521	1315
142	524	1308
143	526	1302
144	529	1295
145	531	1289
146	534	1283
147	536	1277
148	539	1270
149	541	1264
150	544	1258
151	546	1252
152	549	1247
153	554	1245
154	557	1240
155	560	1236
156	563	1230
157	566	1225
158	569	1220
159	572	1215
160	574	1210
161	577	1204
162	580	1199
163	582	1193
164	585	1187
165	587	1182
166	590	1176
167	592	1171
168	595	1166
169	598	1161
170	600	1155
171	603	1150
172	605	1145
173	608	1139
174	611	1135
175	613	1130
176	616	1124
177	618	1119
178	621	1114
179	623	1109
180	626	1104
181	629	1099
182	632	1094
183	634	1089
184	637	1084
185	639	1079
186	642	1075
187	645	1070
188	648	1066
189	650	1062
190	653	1057
191	656	1052
192	659	1048
193	661	1044
194	664	1039
195	666	1034
196	669	1029
197	672	1025
198	674	1020
199	677	1016
200	679	1011
201	682	1006
202	685	1002
203	688	998
204	691	994
205	694	990
206	697	987
207	700	983
208	703	979
209	706	975
210	708	970
211	711	966
212	713	961
213	716	957
214	718	953
215	721	948
216	724	944
217	726	939
218	729	935
219	731	931
220	734	926
221	736	922
222	739	918
223	741	914
224	744	909
225	746	905
226	749	901
227	751	896
228	754	892
229	756	888
230	759	884
231	761	880
232	764	876
233	766	871
234	769	867
235	772	863
236	774	859
237	777	855
238	779	851
239	782	847
240	784	843
241	787	839
242	789	835
243	791	830
244	794	827
245	797	823
246	799	819
247	802	815
248	804	811
249	807	807
250	810	803
251	814	802
252	818	798
253	821	795
254	824	791
255	826	788
256	829	784
257	832	780
258	836	777
259	838	774
260	841	770
261	844	767
262	846	763
263	849	759
264	852	755
265	854	751
266	857	748
267	860	744
268	862	740
269	865	737
270	867	733
271	870	729
272	872	725
273	875	722
274	878	718
275	880	714
276	883	710
277	885	707
278	888	703
279	890	699
280	893	696
281	895	692
282	898	689
283	901	685
284	903	681
285	906	678
286	908	674
287	911	670
288	913	667
289	916	663
290	918	659
291	921	656
292	924	652
293	926	649
294	928	645
295	931	642
296	934	638
297	936	635
298	939	631
299	941	627
300	944	624
301	946	620
302	949	617
303	951	613
304	954	610
305	957	606
306	959	603
307	962	599
308	964	596
309	967	592
310	970	589
311	973	586
312	976	583
313	979	579
314	981	576
315	984	573
316	986	569
317	989	566
318	992	562
319	994	559
320	997	556
321	999	552
322	1002	549
323	1004	545
324	1007	542
325	1009	538
326	1012	535
327	1014	532
328	1017	528
329	1019	525
330	1022	521
331	1024	518
332	1027	515
333	1030	511
334	1032	508
335	1035	505
336	1037	501
337	1040	498
338	1042	495
339	1045	491
340	1047	488
341	1050	485
342	1052	481
343	1055	478
344	1057	475
345	1060	471
346	1062	468
347	1065	465
348	1067	461
349	1070	458
350	1072	455
351	1075	452
352	1078	449
353	1080	445
354	1083	442
355	1086	439
356	1088	436
357	1091	432
358	1093	429
359	1096	426
360	1098	422
361	1101	419
362	1103	416
363	1106	413
364	1108	410
365	1111	406
366	1113	403
367	1115	400
368	1118	397
369	1121	393
370	1123	390
371	1126	387
372	1128	384
